,Date,Fund,NAV,Units,Inv,Cur
0,08-2018,Invesco_India_Money_Market_Fund,2067.9783,24.178,50000.0,72572.03
1,03-2023,Invesco_India_Money_Market_Fund,2666.3286,11.251,29998.5,33770.7
2,12-2020,Aditya_Birla_Sun_Life_Floating_Rate_Fund,268.913,371.849,99995.0,126286.39
3,12-2020,Aditya_Birla_Sun_Life_Floating_Rate_Fund,268.913,371.849,99995.0,126286.39
4,04-2021,Aditya_Birla_Sun_Life_Floating_Rate_Fund,271.3683,368.484,99995.0,125143.58
5,06-2021,Aditya_Birla_Sun_Life_Floating_Rate_Fund,274.3449,364.486,99995.0,123785.79
6,09-2021,Aditya_Birla_Sun_Life_Floating_Rate_Fund,277.873,719.717,199990.0,244428.42
7,07-2024,Aditya_Birla_Sun_Life_Floating_Rate_Fund,329.8577,606.292,199990.0,205907.31
8,06-2017,Aditya_Birla_Sun_Life_Corporate_Bond_Fund,63.8822,782.691,50000.0,85159.13
9,08-2017,Aditya_Birla_Sun_Life_Corporate_Bond_Fund,64.7783,771.863,50000.0,83981.01
10,02-2020,Aditya_Birla_Sun_Life_Corporate_Bond_Fund,78.6028,1272.219,100000.0,138421.24
11,07-2020,Aditya_Birla_Sun_Life_Corporate_Bond_Fund,83.7669,1193.729,99995.0,129881.3
12,10-2020,Aditya_Birla_Sun_Life_Corporate_Bond_Fund,85.1554,1174.265,99995.0,127763.55
13,04-2021,Aditya_Birla_Sun_Life_Corporate_Bond_Fund,87.063,1148.536,99995.0,124964.16
14,06-2021,Aditya_Birla_Sun_Life_Corporate_Bond_Fund,88.157,1134.283,99995.0,123413.39
15,08-2022,Aditya_Birla_Sun_Life_Corporate_Bond_Fund,92.0262,2173.185,199990.0,236449.05
16,07-2024,Aditya_Birla_Sun_Life_Corporate_Bond_Fund,105.2249,1900.596,199990.0,206790.55
17,08-2017,Franklin_Templeton_Franklin_India_Ultra_Short_Bond,23.0708,2167.242,50000.0,74196.61
18,03-2018,Franklin_Templeton_Franklin_India_Ultra_Short_Bond,23.9586,2086.933,50000.0,71447.19
19,04-2019,Franklin_Templeton_Franklin_India_Ultra_Short_Bond,26.4309,3783.45,100000.0,129528.3
20,02-2021,Franklin_Templeton_Franklin_India_Ultra_Short_Bond,29.5925,-3980.812,-117802.17,-136285.09
21,04-2021,Franklin_Templeton_Franklin_India_Ultra_Short_Bond,29.9757,-1152.98,-34561.38,-39472.85
22,04-2021,Franklin_Templeton_Franklin_India_Ultra_Short_Bond,30.2552,-591.877,-17907.36,-20263.21
23,06-2021,Franklin_Templeton_Franklin_India_Ultra_Short_Bond,30.1832,-713.639,-21539.9,-24431.79
24,07-2021,Franklin_Templeton_Franklin_India_Ultra_Short_Bond,30.5971,-691.468,-21156.92,-23672.75
25,08-2021,Franklin_Templeton_Franklin_India_Ultra_Short_Bond,31.1224,-309.134,-9620.99,-10583.36
26,11-2021,Franklin_Templeton_Franklin_India_Ultra_Short_Bond,32.0745,-60.028,-1925.37,-2055.09
27,12-2021,Franklin_Templeton_Franklin_India_Ultra_Short_Bond,32.7081,-339.316,-11098.38,-11616.65
28,08-2022,Franklin_Templeton_Franklin_India_Ultra_Short_Bond,34.2355,-198.371,-6791.33,-6791.33
29,10-2017,Nippon_India_Low_Duration_Fund,2366.6404,4.225,10000.0,15933.83
30,12-2017,Nippon_India_Low_Duration_Fund,2389.3876,-0.167,-400.0,-629.81
31,03-2023,Nippon_India_Low_Duration_Fund,3336.8594,38.957,129993.5,146919.37
32,02-2020,SBI_Magnum_Constant_Maturity_Fund,47.0484,2125.471,100000.0,132710.37
33,05-2020,SBI_Magnum_Constant_Maturity_Fund,48.4684,2063.2,100000.0,128822.29
34,07-2020,SBI_Magnum_Constant_Maturity_Fund,49.9217,2003.037,99995.0,125065.82
35,04-2021,SBI_Magnum_Constant_Maturity_Fund,50.547,1978.258,99995.0,123518.67
36,07-2021,SBI_Magnum_Constant_Maturity_Fund,51.1482,97.75,4999.75,6103.32
37,07-2021,SBI_Magnum_Constant_Maturity_Fund,51.2312,97.592,4999.75,6093.46
38,07-2021,SBI_Magnum_Constant_Maturity_Fund,51.19,97.67,4999.75,6098.33
39,07-2021,SBI_Magnum_Constant_Maturity_Fund,51.2857,97.488,4999.75,6086.97
40,08-2021,SBI_Magnum_Constant_Maturity_Fund,51.4679,97.143,4999.75,6065.42
41,08-2021,SBI_Magnum_Constant_Maturity_Fund,51.4668,97.145,4999.75,6065.55
42,08-2021,SBI_Magnum_Constant_Maturity_Fund,51.6145,96.867,4999.75,6048.19
43,08-2021,SBI_Magnum_Constant_Maturity_Fund,51.7941,96.531,4999.75,6027.21
44,09-2021,SBI_Magnum_Constant_Maturity_Fund,52.044,96.068,4999.75,5998.3
45,09-2021,SBI_Magnum_Constant_Maturity_Fund,52.2456,95.697,4999.75,5975.14
46,09-2021,SBI_Magnum_Constant_Maturity_Fund,52.3656,95.478,4999.75,5961.46
47,09-2021,SBI_Magnum_Constant_Maturity_Fund,52.5558,95.132,4999.75,5939.86
48,10-2021,SBI_Magnum_Constant_Maturity_Fund,52.3279,95.547,4999.75,5965.77
